Release Date,Movie Title,Profit Amount
12/18/2009,Avatar,335507625
5/24/2007,Pirates of the Caribbean: At World's End,9420425
7/20/2012,The Dark Knight Rises,173139099
7/2/2013,The Lone Ranger,-185710090
3/9/2012,John Carter,-201941321
11/24/2010,Tangled,-59178064
5/4/2007,Spider-Man 3,78530303
5/1/2015,The Avengers: Age of Ultron,209005868
12/14/2012,The Hobbit: An Unexpected Journey,53003568
7/15/2009,Harry Potter and the Half-Blood Prince,51959197
12/13/2013,The Hobbit: The Desolation of Smaug,8366855
12/17/2014,The Hobbit: The Battle of the Five Armies,5119788
5/20/2011,Pirates of the Caribbean: On Stranger Tides,-8936125
6/28/2006,Superman Returns,-31880000
11/14/2008,Quantum of Solace,-60631573
5/4/2012,The Avengers,398279547
7/7/2006,Pirates of the Caribbean: Dead Man's Chest,198315812
6/14/2013,Man of Steel,66045518
5/16/2008,The Chronicles of Narnia: Prince Caspian,-83378510
7/3/2012,The Amazing Spider-Man,42030663
6/12/2015,Jurassic World,436128985
5/25/2012,Men in Black 3,-35979146
6/24/2009,Transformers: Revenge of the Fallen,192111870
6/27/2014,Transformers: Age of Extinction,35439076
5/26/2006,X-Men: The Last Stand,24362462
5/14/2010,Robin Hood,-104730270
5/18/2012,Battleship,-143766600
12/14/2005,King Kong,11080025
12/1/2007,The Golden Compass,-134892272
12/19/1997,Titanic,458672302
6/18/2010,Toy Story 3,215004880
5/3/2013,Iron Man 3,208992272
6/30/2004,Spider-Man 2,173524485
3/5/2010,Alice in Wonderland,134191110
11/8/2012,Skyfall,104360277
6/21/2013,Monsters University,68488329
3/8/2013,Oz the Great and Powerful,34770996
5/23/2014,X-Men: Days of Future Past,33921534
5/2/2014,The Amazing Spider-Man 2,2853933
6/24/2011,Cars 2,-8549125
12/17/2010,Tron: Legacy,-27937237
11/13/2009,2012,-33887833
5/21/2009,Terminator Salvation,-74677531
6/17/2011,Green Lantern,-83398828
5/28/2010,Prince of Persia: Sands of Time,-109240324
6/24/2016,Independence Day: Resurgence,-200000000
6/29/2011,Transformers: Dark of the Moon,157390543
3/1/2013,Jack the Giant Slayer,-129812397
4/3/2015,Furious 7,161032910
5/15/2013,Star Trek Into Darkness,38778661
6/21/2013,World War Z,12359711
5/10/2013,The Great Gatsby,-45159581
11/6/2009,Disney's A Christmas Carol,-52144137
7/12/2013,Pacific Rim,-88197094
5/2/2008,Iron Man,132604126
7/18/2008,The Dark Knight,348345358
5/22/2008,Indiana Jones and the Kingdom of the Crystal Skull,132023851
6/22/2012,Brave,52282182
12/9/2005,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,111710957
5/30/2014,Maleficent,61407328
6/27/2008,WALL-E,43808164
8/10/2007,Rush Hour 3,-39874032
11/23/2011,Hugo,-106135493
7/21/2017,Valerian and the City of a Thousand Planets,-180000000
2/6/2015,Jupiter Ascending,-131517481
6/6/2014,Edge of Tomorrow,-77793744
5/29/2009,Up,118004164
3/27/2009,Monsters vs. Aliens,23351526
8/7/2009,G.I. Joe: The Rise of Cobra,-24798502
6/30/1999,Wild Wild West,-61194319
8/1/2008,The Mummy: Tomb of the Dragon Emperor,-72722490
6/22/2007,Evan Almighty,-74710310
7/28/1995,Waterworld,-86785340
12/25/2013,47 Ronin,-136637525
12/31/2020,Singularity,-175000000
8/1/2014,Guardians of the Galaxy,163172112
5/7/2010,Iron Man 2,142128345
4/4/2014,Captain America: The Winter Soldier,89746958
7/11/2014,Dawn of the Planet of the Apes,38545589
11/10/2004,The Polar Express,24949659
6/1/2012,Snow White and the Huntsman,-14863245
7/1/2003,Terminator 3: Rise of the Machines,-19641704
5/7/2004,Van Helsing,-49849454
5/22/2015,Tomorrowland,-76563678
5/21/2010,Shrek Forever After,73395990
11/7/2014,Big Hero 6,57527828
3/26/2010,How to Train Your Dragon,52581231
11/2/2012,Wreck-It Ralph,24412677
11/5/2014,Interstellar,23017894
7/29/2011,Cowboys and Aliens,-62759449
5/17/2007,Shrek the Third,161012359
7/16/2010,Inception,132576195
5/24/2013,Fast and Furious 6,78679850
5/16/2014,Godzilla,40672193
6/3/2011,X-Men: First Class,-13591695
12/25/2008,The Curious Case of Benjamin Button,-32490674
7/14/2010,The Sorcerer's Apprentice,-96849009
5/12/2006,Poseidon,-99325183
12/10/2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,-50613050
7/1/2015,Terminator: Genisys,-65239044
11/24/2004,Alexander,-120702809
5/25/2001,Pearl Harbor,47039855
7/2/2007,Transformers,168071806
11/22/2013,Frozen,250738009
7/11/2007,Harry Potter and the Order of the Phoenix,142004738
11/18/2005,Harry Potter and the Goblet of Fire,140013036
5/15/2003,The Matrix Reloaded,131553689
12/14/2007,I am Legend,106393010
7/1/2008,Hancock,77946274
7/15/2005,Charlie and the Chocolate Factory,56459076
6/29/2007,Ratatouille,56445654
11/8/2013,Thor: The Dark World,56360018
6/15/2005,Batman Begins,55343774
7/31/2015,Mission: Impossible - Rogue Nation,44522893
5/6/2011,Thor,31030624
11/7/2008,Madagascar: Escape 2 Africa,30010950
5/1/2009,X-Men Origins: Wolverine,29883157
